Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Harlow's School Bus Service,N/A,/static/img/banners/default-ei-banner.jpg,N/A,school bus driver,Part-time,"Bismarck, ND",,School Bus Driver,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df4a78a6&cb=1612447532155&jobListingId=3771926113
Altru Health System,N/A,/static/img/banners/default-ei-banner.jpg,N/A,registered nurse,Part-time,"Bismarck, ND",,"Registered Nurse (RN) $10K-$15K sign-on bonus, Grand Forks, ND",Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76e865b4&cb=1612447534309&jobListingId=3771926026
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,social worker,Full-time,"Bismarck, ND",$32K - $56K ,Social Worker,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04974c2f&cb=1612447535220&jobListingId=3771926056
RDO Equipment Co.,1001 to 5000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/6447/rdo-equipment-squarelogo-1522702122680.png","Construction, Repair & Maintenance",truck driver,Full-time,"Bismarck, ND",,Over The Road Truck Driver,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c9a7dee7&cb=1612447535627&jobListingId=3806967202
Midnite Express,N/A,/static/img/banners/default-ei-banner.jpg,N/A,owner operator,Full-time,"Bismarck, ND",,Class A CDL Truck Drivers - OTR Drivers & Owner Operators,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7d23faa6&cb=1612447536051&jobListingId=3812482227
Northwestern Mutual,5001 to 10000 Employees,"https://media.glassdoor.com/banner/bh/2919/northwestern-mutual-banner-1509400213102.jpg,https://media.glassdoor.com/sql/2919/northwestern-mutual-squarelogo-1505752677735.png",Finance,financial advisor,Full-time,"Bismarck, ND",,Financial Advisor,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_08633835&cb=1612447536421&jobListingId=3771713075
Fargo Glass and Paint,N/A,/static/img/banners/default-ei-banner.jpg,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_010d0857&cb=1612447536262&jobListingId=3680028932
